id,name,priority,arrival,deadline,duration
1,clean_zone,2,4,20,15
2,inspect_area,4,8,17,17
3,charge_batt,2,1,13,13
4,emergency_chk,2,9,10,10
5,scan_shelf,1,3,5,5
6,inspect_area,1,8,12,10
7,update_inv,2,8,12,7
8,emergency_chk,4,3,21,18
9,charge_batt,1,1,18,16
10,move_pallet,4,7,9,4
11,scan_shelf,1,6,13,13
12,charge_batt,2,3,23,20
13,deliver_pkg,4,2,14,11
14,charge_batt,1,7,20,20
15,pick_up_box,1,1,11,10
16,move_pallet,4,7,12,9
17,pick_up_box,2,6,6,3
18,sort_items,4,4,21,16
19,clean_zone,4,2,11,9
20,charge_batt,1,9,20,20
21,inspect_area,1,0,22,18
22,clean_zone,2,0,19,19
23,deliver_pkg,1,9,10,5
24,charge_batt,4,1,14,10
25,emergency_chk,1,9,8,5
26,emergency_chk,3,4,14,9
27,inspect_area,2,4,16,15
28,sort_items,4,5,5,5
29,update_inv,1,1,21,20
30,clean_zone,3,2,14,14
